# group: 1 2 3 1 2 3 
# component: primary primary primary secondary secondary secondary 
# name: rv rv rv rv rv rv 

-57.5300298891 -140.076726228 -183.995018697 -49.0855502271 -168.916122852 -137.859415877 9839610.82406 
116.253852834 130.055015323 14.2006306873 59.0957899035 45.1794561883 97.3349146354 3289704.50936 
143.634649063 -38.2871571709 181.902263888 -64.9430434523 186.526715644 11.160103305 2223650.6779 
199.074769812 11.7095799855 41.5642948977 -123.435156366 168.81951055 -146.851083141 3013600.21445 
73.6585774428 -113.570259252 -187.689122998 -176.523338337 80.7796174168 -143.262361558 6519760.53469 
77.8520704326 -21.3805921088 -33.5342122342 -43.93987647 152.462238915 126.260549131 619098.3132 
42.9055983088 47.6906451029 126.525312422 -22.3058977761 105.98353052 -117.392615989 1014484.60428 
-121.162619077 -9.95773649414 84.782803935 -77.020638965 -57.0711606211 114.150225121 3415238.97277 
167.115787698 -55.723787099 -156.276494671 8.21573150244 -131.92319938 180.429548654 4420108.04289 
19.6435115573 -16.7747898726 186.371851728 178.883472053 79.4133997047 59.77105282 2130731.04438 
-188.314180305 -53.0425666455 -98.6082750103 20.9570968993 28.9728632507 120.641097544 3553191.995 
108.660897344 -180.487230093 -75.9192246565 -46.4988117984 107.155252744 -63.0332085921 4438639.05883 
-173.171776184 -129.600459451 6.54915156945 -144.371808465 -65.2982431746 -175.784411454 8161840.08486 
-186.643931472 43.8620963157 23.7168957554 189.312766183 -79.52457803 -83.352373372 3206918.01273 
-115.065457421 76.842310683 -51.1610390855 -160.770300322 136.52040966 -51.850588985 6535308.55881 
-153.592289996 159.712206246 -17.9761411793 17.7534478432 -49.9483770385 89.8733789202 3636065.03752 
64.9526141605 52.6841413441 81.9990319673 -178.442185346 159.207325466 -197.657598277 2204981.74744 
-191.360481834 -28.0468512804 108.070371746 97.7485315837 114.596908733 -192.374262647 3015680.1475 
-110.825697737 -33.9842055731 -71.0759803133 -129.289559679 89.0168677987 172.100769054 3594319.00416 
-167.135907577 -0.677793694684 -3.01405672587 137.591659598 -71.0937911606 23.8503803461 2835283.41925 
51.807507302 34.3206430201 79.0289533989 -157.245181881 193.915292038 32.3389474432 1970977.255 
-91.4314468078 -159.711763036 134.759546643 -7.29450434027 52.5270134947 -133.389017427 3112230.89153 
-79.035818694 -103.067964273 -171.509610159 150.224325041 -175.574194445 30.6139278625 5814361.70649 
30.5554774516 149.010976525 144.135797459 -184.996398918 119.073541464 192.40298912 5716933.59424 
-73.4204535923 -40.8907189286 -22.2832798386 -125.791653873 122.212576239 -10.2054392841 3291415.12691 
