# Component: primary
# Region: (6500.0,6600.0)
# KOREL: False
# Parameters: {'rv': 49.9857247022, 'teff': 25000.0, 'vrot': 150.0, 'logg': 4.2, 'lr': 0.7, 'z': 1.0}
6.5000000000e+03 6.9984760926e-01
6.5000250000e+03 6.9984345266e-01
6.5000500000e+03 6.9983929606e-01
6.5000750000e+03 6.9983513947e-01
6.5001000000e+03 6.9983098287e-01
6.5001250000e+03 6.9982682627e-01
6.5001500000e+03 6.9982266968e-01
6.5001750000e+03 6.9981851308e-01
6.5002000000e+03 6.9981435648e-01
6.5002250000e+03 6.9981019989e-01
6.5002500000e+03 6.9980604329e-01
6.5002750000e+03 6.9980188669e-01
6.5003000000e+03 6.9979773010e-01
6.5003250000e+03 6.9979357350e-01
6.5003500000e+03 6.9978941691e-01
6.5003750000e+03 6.9978526031e-01
6.5004000000e+03 6.9978110371e-01
6.5004250000e+03 6.9977694712e-01
6.5004500000e+03 6.9977279052e-01
6.5004750000e+03 6.9976863392e-01
6.5005000000e+03 6.9976447733e-01
6.5005250000e+03 6.9976032073e-01
6.5005500000e+03 6.9975616413e-01
6.5005750000e+03 6.9975200754e-01
6.5006000000e+03 6.9974785094e-01
6.5006250000e+03 6.9974369435e-01
6.5006500000e+03 6.9973953775e-01
6.5006750000e+03 6.9973538115e-01
6.5007000000e+03 6.9973122456e-01
6.5007250000e+03 6.9972706796e-01
6.5007500000e+03 6.9972291136e-01
6.5007750000e+03 6.9971875477e-01
6.5008000000e+03 6.9971459817e-01
6.5008250000e+03 6.9971044157e-01
6.5008500000e+03 6.9970628498e-01
6.5008750000e+03 6.9970212836e-01
6.5009000000e+03 6.9969797185e-01
6.5009250000e+03 6.9969381493e-01
6.5009500000e+03 6.9968965955e-01
6.5009750000e+03 6.9968549841e-01
6.5010000000e+03 6.9968135876e-01
6.5010250000e+03 6.9967713892e-01
6.5010500000e+03 6.9967321838e-01
6.5010750000e+03 6.9966818077e-01
6.5011000000e+03 6.9966503789e-01
6.5011250000e+03 6.9965985216e-01
6.5011500000e+03 6.9965544236e-01
6.5011750000e+03 6.9965068689e-01
6.5012000000e+03 6.9964583202e-01
6.5012250000e+03 6.9964078114e-01
6.5012500000e+03 6.9963557541e-01
6.5012750000e+03 6.9963026538e-01
6.5013000000e+03 6.9962491953e-01
6.5013250000e+03 6.9961958949e-01
6.5013500000e+03 6.9961430125e-01
6.5013750000e+03 6.9960905830e-01
6.5014000000e+03 6.9960385323e-01
6.5014250000e+03 6.9959867597e-01
6.5014500000e+03 6.9959351817e-01
6.5014750000e+03 6.9958837198e-01
6.5015000000e+03 6.9958322477e-01
6.5015250000e+03 6.9957805186e-01
6.5015500000e+03 6.9957280680e-01
6.5015750000e+03 6.9956741797e-01
6.5016000000e+03 6.9956180456e-01
6.5016250000e+03 6.9955591124e-01
6.5016500000e+03 6.9954974447e-01
6.5016750000e+03 6.9954338002e-01
6.5017000000e+03 6.9953693149e-01
6.5017250000e+03 6.9953050210e-01
6.5017500000e+03 6.9952415265e-01
6.5017750000e+03 6.9951790098e-01
6.5018000000e+03 6.9951173970e-01
6.5018250000e+03 6.9950565210e-01
6.5018500000e+03 6.9949962287e-01
6.5018750000e+03 6.9949364073e-01
6.5019000000e+03 6.9948769810e-01
6.5019250000e+03 6.9948178930e-01
6.5019500000e+03 6.9947590937e-01
6.5019750000e+03 6.9947005427e-01
6.5020000000e+03 6.9946422148e-01
6.5020250000e+03 6.9945840851e-01
6.5020500000e+03 6.9945261255e-01
6.5020750000e+03 6.9944683057e-01
6.5021000000e+03 6.9944105676e-01
6.5021250000e+03 6.9943528008e-01
6.5021500000e+03 6.9942947571e-01
6.5021750000e+03 6.9942359200e-01
6.5022000000e+03 6.9941753753e-01
6.5022250000e+03 6.9941117531e-01
6.5022500000e+03 6.9940434242e-01
6.5022750000e+03 6.9939689490e-01
6.5023000000e+03 6.9938875045e-01
6.5023250000e+03 6.9937990247e-01
6.5023500000e+03 6.9937039169e-01
6.5023750000e+03 6.9936026026e-01
6.5024000000e+03 6.9934952762e-01
6.5024250000e+03 6.9933820953e-01
6.5024500000e+03 6.9932635637e-01
6.5024750000e+03 6.9931407927e-01
6.5025000000e+03 6.9930154545e-01
6.5025250000e+03 6.9928894454e-01
6.5025500000e+03 6.9927644678e-01
6.5025750000e+03 6.9926417508e-01
6.5026000000e+03 6.9925219755e-01
6.5026250000e+03 6.9924053393e-01
6.5026500000e+03 6.9922917117e-01
6.5026750000e+03 6.9921808121e-01
6.5027000000e+03 6.9920723273e-01
6.5027250000e+03 6.9919659719e-01
6.5027500000e+03 6.9918615107e-01
6.5027750000e+03 6.9917587620e-01
6.5028000000e+03 6.9916575844e-01
6.5028250000e+03 6.9915578658e-01
6.5028500000e+03 6.9914595119e-01
6.5028750000e+03 6.9913624496e-01
6.5029000000e+03 6.9912666200e-01
6.5029250000e+03 6.9911719644e-01
6.5029500000e+03 6.9910784351e-01
6.5029750000e+03 6.9909859959e-01
6.5030000000e+03 6.9908946134e-01
6.5030250000e+03 6.9908042571e-01
6.5030500000e+03 6.9907149003e-01
6.5030750000e+03 6.9906265193e-01
6.5031000000e+03 6.9905390937e-01
6.5031250000e+03 6.9904526078e-01
6.5031500000e+03 6.9903670459e-01
6.5031750000e+03 6.9902823860e-01
6.5032000000e+03 6.9901986150e-01
6.5032250000e+03 6.9901157224e-01
6.5032500000e+03 6.9900336922e-01
6.5032750000e+03 6.9899525117e-01
6.5033000000e+03 6.9898721579e-01
6.5033250000e+03 6.9897926026e-01
6.5033500000e+03 6.9897138068e-01
6.5033750000e+03 6.9896356985e-01
6.5034000000e+03 6.9895581658e-01
6.5034250000e+03 6.9894810404e-01
6.5034500000e+03 6.9894040825e-01
6.5034750000e+03 6.9893270035e-01
6.5035000000e+03 6.9892495115e-01
6.5035250000e+03 6.9891713875e-01
6.5035500000e+03 6.9890925595e-01
6.5035750000e+03 6.9890131403e-01
6.5036000000e+03 6.9889334194e-01
6.5036250000e+03 6.9888537914e-01
6.5036500000e+03 6.9887746758e-01
6.5036750000e+03 6.9886964332e-01
6.5037000000e+03 6.9886193238e-01
6.5037250000e+03 6.9885434940e-01
6.5037500000e+03 6.9884689870e-01
6.5037750000e+03 6.9883957863e-01
6.5038000000e+03 6.9883238516e-01
6.5038250000e+03 6.9882531328e-01
6.5038500000e+03 6.9881835827e-01
6.5038750000e+03 6.9881151673e-01
6.5039000000e+03 6.9880478691e-01
