# Component: secondary
# Region: (6500.0,6600.0)
# KOREL: False
# Parameters: {'rv': -49.9460982465, 'teff': 18000.0, 'vrot': 50.0, 'logg': 4.2, 'lr': 0.3, 'z': 1.0}
6.5000000000e+03 2.9948893678e-01
6.5000250000e+03 2.9948350642e-01
6.5000500000e+03 2.9947767833e-01
6.5000750000e+03 2.9947167347e-01
6.5001000000e+03 2.9946540900e-01
6.5001250000e+03 2.9945890921e-01
6.5001500000e+03 2.9945216621e-01
6.5001750000e+03 2.9944519285e-01
6.5002000000e+03 2.9943800332e-01
6.5002250000e+03 2.9943058097e-01
6.5002500000e+03 2.9942280554e-01
6.5002750000e+03 2.9941442370e-01
6.5003000000e+03 2.9940514646e-01
6.5003250000e+03 2.9939480790e-01
6.5003500000e+03 2.9938339255e-01
6.5003750000e+03 2.9937088888e-01
6.5004000000e+03 2.9935716484e-01
6.5004250000e+03 2.9934210599e-01
6.5004500000e+03 2.9932612432e-01
6.5004750000e+03 2.9931066452e-01
6.5005000000e+03 2.9929784519e-01
6.5005250000e+03 2.9928912144e-01
6.5005500000e+03 2.9928430018e-01
6.5005750000e+03 2.9928199924e-01
6.5006000000e+03 2.9928083622e-01
6.5006250000e+03 2.9928003767e-01
6.5006500000e+03 2.9927932097e-01
6.5006750000e+03 2.9927860931e-01
6.5007000000e+03 2.9927787412e-01
6.5007250000e+03 2.9927709812e-01
6.5007500000e+03 2.9927628098e-01
6.5007750000e+03 2.9927544118e-01
6.5008000000e+03 2.9927460173e-01
6.5008250000e+03 2.9927377694e-01
6.5008500000e+03 2.9927296971e-01
6.5008750000e+03 2.9927217722e-01
6.5009000000e+03 2.9927139616e-01
6.5009250000e+03 2.9927062505e-01
6.5009500000e+03 2.9926986294e-01
6.5009750000e+03 2.9926910871e-01
6.5010000000e+03 2.9926836145e-01
6.5010250000e+03 2.9926761961e-01
6.5010500000e+03 2.9926687757e-01
6.5010750000e+03 2.9926611135e-01
6.5011000000e+03 2.9926523027e-01
6.5011250000e+03 2.9926395675e-01
6.5011500000e+03 2.9926164569e-01
6.5011750000e+03 2.9925719177e-01
6.5012000000e+03 2.9924929208e-01
6.5012250000e+03 2.9923713052e-01
6.5012500000e+03 2.9922101860e-01
6.5012750000e+03 2.9920238818e-01
6.5013000000e+03 2.9918307464e-01
6.5013250000e+03 2.9916447774e-01
6.5013500000e+03 2.9914720650e-01
6.5013750000e+03 2.9913127967e-01
6.5014000000e+03 2.9911648959e-01
6.5014250000e+03 2.9910262691e-01
6.5014500000e+03 2.9908954151e-01
6.5014750000e+03 2.9907712559e-01
6.5015000000e+03 2.9906528325e-01
6.5015250000e+03 2.9905388982e-01
6.5015500000e+03 2.9904272832e-01
6.5015750000e+03 2.9903143314e-01
6.5016000000e+03 2.9901952600e-01
6.5016250000e+03 2.9900660447e-01
6.5016500000e+03 2.9899259890e-01
6.5016750000e+03 2.9897786990e-01
6.5017000000e+03 2.9896302910e-01
6.5017250000e+03 2.9894862891e-01
6.5017500000e+03 2.9893497091e-01
6.5017750000e+03 2.9892211978e-01
6.5018000000e+03 2.9891001919e-01
6.5018250000e+03 2.9889858838e-01
6.5018500000e+03 2.9888776138e-01
6.5018750000e+03 2.9887749210e-01
6.5019000000e+03 2.9886774853e-01
6.5019250000e+03 2.9885850741e-01
6.5019500000e+03 2.9884975085e-01
6.5019750000e+03 2.9884146409e-01
6.5020000000e+03 2.9883363542e-01
6.5020250000e+03 2.9882625524e-01
6.5020500000e+03 2.9881931534e-01
6.5020750000e+03 2.9881280810e-01
6.5021000000e+03 2.9880672751e-01
6.5021250000e+03 2.9880106794e-01
6.5021500000e+03 2.9879582322e-01
6.5021750000e+03 2.9879098609e-01
6.5022000000e+03 2.9878654737e-01
6.5022250000e+03 2.9878249444e-01
6.5022500000e+03 2.9877881153e-01
6.5022750000e+03 2.9877548237e-01
6.5023000000e+03 2.9877249128e-01
6.5023250000e+03 2.9876982327e-01
6.5023500000e+03 2.9876746300e-01
6.5023750000e+03 2.9876539503e-01
6.5024000000e+03 2.9876360747e-01
6.5024250000e+03 2.9876209569e-01
6.5024500000e+03 2.9876086746e-01
6.5024750000e+03 2.9875994419e-01
6.5025000000e+03 2.9875935846e-01
6.5025250000e+03 2.9875914825e-01
6.5025500000e+03 2.9875934715e-01
6.5025750000e+03 2.9875997896e-01
6.5026000000e+03 2.9876105723e-01
6.5026250000e+03 2.9876258724e-01
6.5026500000e+03 2.9876457018e-01
6.5026750000e+03 2.9876700453e-01
6.5027000000e+03 2.9876988861e-01
6.5027250000e+03 2.9877322286e-01
6.5027500000e+03 2.9877700830e-01
6.5027750000e+03 2.9878124453e-01
6.5028000000e+03 2.9878592783e-01
6.5028250000e+03 2.9879104752e-01
6.5028500000e+03 2.9879658899e-01
6.5028750000e+03 2.9880254200e-01
6.5029000000e+03 2.9880890582e-01
6.5029250000e+03 2.9881569191e-01
6.5029500000e+03 2.9882292230e-01
6.5029750000e+03 2.9883062463e-01
6.5030000000e+03 2.9883882633e-01
6.5030250000e+03 2.9884754995e-01
6.5030500000e+03 2.9885681457e-01
6.5030750000e+03 2.9886663979e-01
6.5031000000e+03 2.9887704862e-01
6.5031250000e+03 2.9888807069e-01
6.5031500000e+03 2.9889974302e-01
6.5031750000e+03 2.9891211490e-01
6.5032000000e+03 2.9892525458e-01
6.5032250000e+03 2.9893926066e-01
6.5032500000e+03 2.9895428059e-01
6.5032750000e+03 2.9897052212e-01
6.5033000000e+03 2.9898820594e-01
6.5033250000e+03 2.9900737191e-01
6.5033500000e+03 2.9902753713e-01
6.5033750000e+03 2.9904744094e-01
6.5034000000e+03 2.9906527895e-01
6.5034250000e+03 2.9907949303e-01
6.5034500000e+03 2.9908955962e-01
6.5034750000e+03 2.9909613562e-01
6.5035000000e+03 2.9910050303e-01
6.5035250000e+03 2.9910384862e-01
6.5035500000e+03 2.9910690499e-01
6.5035750000e+03 2.9911000621e-01
6.5036000000e+03 2.9911327188e-01
6.5036250000e+03 2.9911674520e-01
6.5036500000e+03 2.9912046592e-01
6.5036750000e+03 2.9912450403e-01
6.5037000000e+03 2.9912895809e-01
6.5037250000e+03 2.9913390037e-01
6.5037500000e+03 2.9913926662e-01
6.5037750000e+03 2.9914474182e-01
6.5038000000e+03 2.9914976045e-01
6.5038250000e+03 2.9915371140e-01
6.5038500000e+03 2.9915624726e-01
6.5038750000e+03 2.9915744324e-01
6.5039000000e+03 2.9915767935e-01
6.5039250000e+03 2.9915738675e-01
6.5039500000e+03 2.9915687339e-01
6.5039750000e+03 2.9915629703e-01
6.5040000000e+03 2.9915571918e-01
6.5040250000e+03 2.9915515831e-01
6.5040500000e+03 2.9915462007e-01
6.5040750000e+03 2.9915411433e-01
6.5041000000e+03 2.9915366695e-01
6.5041250000e+03 2.9915331703e-01
6.5041500000e+03 2.9915303617e-01
6.5041750000e+03 2.9915246464e-01
6.5042000000e+03 2.9915029090e-01
6.5042250000e+03 2.9914304334e-01
6.5042500000e+03 2.9912355006e-01
6.5042750000e+03 2.9908048969e-01
6.5043000000e+03 2.9900089464e-01
6.5043250000e+03 2.9887479610e-01
6.5043500000e+03 2.9869853853e-01
6.5043750000e+03 2.9847558209e-01
6.5044000000e+03 2.9821575184e-01
6.5044250000e+03 2.9793351624e-01
6.5044500000e+03 2.9764516270e-01
6.5044750000e+03 2.9736475096e-01
6.5045000000e+03 2.9710059007e-01
6.5045250000e+03 2.9685479811e-01
6.5045500000e+03 2.9662575686e-01
6.5045750000e+03 2.9641088152e-01
6.5046000000e+03 2.9620795099e-01
6.5046250000e+03 2.9601535031e-01
6.5046500000e+03 2.9583195491e-01
6.5046750000e+03 2.9565696578e-01
6.5047000000e+03 2.9548979855e-01
6.5047250000e+03 2.9533001081e-01
6.5047500000e+03 2.9517725588e-01
6.5047750000e+03 2.9503125172e-01
6.5048000000e+03 2.9489176081e-01
6.5048250000e+03 2.9475858044e-01
6.5048500000e+03 2.9463153480e-01
6.5048750000e+03 2.9451046956e-01
6.5049000000e+03 2.9439525091e-01
6.5049250000e+03 2.9428576292e-01
6.5049500000e+03 2.9418190344e-01
6.5049750000e+03 2.9408358099e-01
6.5050000000e+03 2.9399070605e-01
6.5050250000e+03 2.9390318417e-01
6.5050500000e+03 2.9382092355e-01
6.5050750000e+03 2.9374385243e-01
6.5051000000e+03 2.9367192624e-01
6.5051250000e+03 2.9360511762e-01
6.5051500000e+03 2.9354340177e-01
6.5051750000e+03 2.9348675030e-01
6.5052000000e+03 2.9343513309e-01
6.5052250000e+03 2.9338852231e-01
6.5052500000e+03 2.9334689316e-01
6.5052750000e+03 2.9331022397e-01
6.5053000000e+03 2.9327849626e-01
6.5053250000e+03 2.9325169422e-01
6.5053500000e+03 2.9322980427e-01
6.5053750000e+03 2.9321281627e-01
6.5054000000e+03 2.9320072276e-01
6.5054250000e+03 2.9319351843e-01
6.5054500000e+03 2.9319119976e-01
6.5054750000e+03 2.9319376543e-01
6.5055000000e+03 2.9320121292e-01
6.5055250000e+03 2.9321353872e-01
6.5055500000e+03 2.9323074248e-01
6.5055750000e+03 2.9325283173e-01
6.5056000000e+03 2.9327982395e-01
6.5056250000e+03 2.9331174042e-01
6.5056500000e+03 2.9334859216e-01
6.5056750000e+03 2.9339035428e-01
6.5057000000e+03 2.9343689775e-01
6.5057250000e+03 2.9348786827e-01
6.5057500000e+03 2.9354259640e-01
6.5057750000e+03 2.9360021263e-01
6.5058000000e+03 2.9366007027e-01
6.5058250000e+03 2.9372223542e-01
6.5058500000e+03 2.9378760251e-01
6.5058750000e+03 2.9385748344e-01
6.5059000000e+03 2.9393300004e-01
6.5059250000e+03 2.9401475619e-01
6.5059500000e+03 2.9410291163e-01
6.5059750000e+03 2.9419741945e-01
6.5060000000e+03 2.9429820520e-01
6.5060250000e+03 2.9440524542e-01
6.5060500000e+03 2.9451858488e-01
6.5060750000e+03 2.9463832506e-01
6.5061000000e+03 2.9476460678e-01
6.5061250000e+03 2.9489760447e-01
6.5061500000e+03 2.9503752870e-01
6.5061750000e+03 2.9518463377e-01
6.5062000000e+03 2.9533922985e-01
6.5062250000e+03 2.9550170026e-01
6.5062500000e+03 2.9567253228e-01
6.5062750000e+03 2.9585237470e-01
