# group: 1 2 3 1 2 3 
# component: primary primary primary secondary secondary secondary 
# name: rv rv rv rv rv rv 

-27.9819145174 43.8910265666 74.673502947 67.6794240576 -69.0710946752 107.853599399 958756.027486 
-29.7889359011 -23.3029656631 25.5257228287 100.824014657 88.9491763845 -109.224490929 852637.593004 
106.260526252 -41.7402661251 -82.8604732112 -61.7310983001 74.3352059559 -1.46419748411 2017650.41031 
32.3308202036 -27.6451218718 64.3149478119 73.0560801737 -102.329679115 -90.4919239354 1314503.49769 
-45.7670427616 112.760123593 69.0770042704 87.7602563336 86.0522493006 26.3438124491 2609637.28863 
85.865403802 47.4679538484 28.1405442985 -28.6525339033 -74.2114024947 -96.7685715985 783503.226899 
-32.9740292647 -20.5667553113 -12.9174170298 7.28122738477 -52.2490173079 95.3981777658 997355.05941 
56.7113325856 -9.53276141261 -114.538404803 -31.8097614145 110.756605262 -38.8483598123 2657550.84912 
74.3773609659 109.300589231 -101.556384112 65.8779194378 33.2785091582 -80.1289237116 4390906.53583 
-61.7970218003 -100.257573455 87.5932475789 -1.35931657249 -63.6213092703 -84.2085237859 2416858.54525 
-113.657900689 94.4846938807 88.5718985272 -44.7739602505 -28.0192938385 76.169489315 2852794.11752 
110.260958403 -89.2086790303 -4.91781818596 -4.83637910961 92.4160927427 -69.9119459804 2051365.91559 
14.6901242957 28.9750347166 -81.5850535895 25.6468590219 29.6807581635 5.16874545602 1848484.45063 
-87.7266939404 -47.4763420845 83.2910023491 8.82147478627 -76.4505417771 55.3950173231 2416498.91608 
59.7250422303 4.44071794792 106.580096043 114.009975637 -58.4793996143 53.2524893639 1614967.58927 
-61.1309177352 79.2870534934 14.3768189848 -115.063089465 -19.7885762492 -23.4451647371 2662024.52893 
-2.07921198079 11.8499231291 81.8940318114 76.5119411089 -23.8643441513 -47.4004827013 439899.725743 
-67.1869663756 -6.61487329079 113.230364012 111.815257054 -106.55107083 35.7452162865 1527493.25944 
106.772849732 8.00426967299 33.9964981662 -11.8087795623 44.5695506286 11.6462774948 1215531.47902 
