# Component: primary
# Region: (6330.0,6375.0)
# KOREL: False
# Parameters: {'rv': 49.9857247022, 'teff': 25000.0, 'vrot': 150.0, 'logg': 4.2, 'lr': 0.7, 'z': 1.0}
6.3300000000e+03 6.9996721036e-01
6.3300250000e+03 6.9996634283e-01
6.3300500000e+03 6.9996547529e-01
6.3300750000e+03 6.9996460775e-01
6.3301000000e+03 6.9996374021e-01
6.3301250000e+03 6.9996287267e-01
6.3301500000e+03 6.9996200513e-01
6.3301750000e+03 6.9996113760e-01
6.3302000000e+03 6.9996027006e-01
6.3302250000e+03 6.9995940252e-01
6.3302500000e+03 6.9995853498e-01
6.3302750000e+03 6.9995766744e-01
6.3303000000e+03 6.9995679990e-01
6.3303250000e+03 6.9995593237e-01
6.3303500000e+03 6.9995506483e-01
6.3303750000e+03 6.9995419729e-01
6.3304000000e+03 6.9995332975e-01
6.3304250000e+03 6.9995246221e-01
6.3304500000e+03 6.9995159467e-01
6.3304750000e+03 6.9995072714e-01
6.3305000000e+03 6.9994985960e-01
6.3305250000e+03 6.9994899206e-01
6.3305500000e+03 6.9994812452e-01
6.3305750000e+03 6.9994725698e-01
6.3306000000e+03 6.9994638944e-01
6.3306250000e+03 6.9994552191e-01
6.3306500000e+03 6.9994465437e-01
6.3306750000e+03 6.9994378683e-01
6.3307000000e+03 6.9994291929e-01
6.3307250000e+03 6.9994205175e-01
6.3307500000e+03 6.9994118421e-01
6.3307750000e+03 6.9994031668e-01
6.3308000000e+03 6.9993944914e-01
6.3308250000e+03 6.9993858160e-01
6.3308500000e+03 6.9993771406e-01
6.3308750000e+03 6.9993684653e-01
6.3309000000e+03 6.9993597894e-01
6.3309250000e+03 6.9993511159e-01
6.3309500000e+03 6.9993424336e-01
6.3309750000e+03 6.9993337840e-01
6.3310000000e+03 6.9993250124e-01
6.3310250000e+03 6.9993166963e-01
6.3310500000e+03 6.9993066795e-01
6.3310750000e+03 6.9993008178e-01
6.3311000000e+03 6.9992933497e-01
6.3311250000e+03 6.9992866541e-01
6.3311500000e+03 6.9992799441e-01
6.3311750000e+03 6.9992734496e-01
6.3312000000e+03 6.9992670967e-01
6.3312250000e+03 6.9992608844e-01
6.3312500000e+03 6.9992547955e-01
6.3312750000e+03 6.9992488190e-01
6.3313000000e+03 6.9992429452e-01
6.3313250000e+03 6.9992371688e-01
6.3313500000e+03 6.9992314857e-01
6.3313750000e+03 6.9992258932e-01
6.3314000000e+03 6.9992203881e-01
6.3314250000e+03 6.9992149669e-01
6.3314500000e+03 6.9992096282e-01
6.3314750000e+03 6.9992043711e-01
6.3315000000e+03 6.9991991945e-01
6.3315250000e+03 6.9991940975e-01
6.3315500000e+03 6.9991890792e-01
6.3315750000e+03 6.9991841389e-01
6.3316000000e+03 6.9991792764e-01
6.3316250000e+03 6.9991744916e-01
6.3316500000e+03 6.9991697815e-01
6.3316750000e+03 6.9991651440e-01
6.3317000000e+03 6.9991605793e-01
6.3317250000e+03 6.9991560882e-01
6.3317500000e+03 6.9991516702e-01
6.3317750000e+03 6.9991473267e-01
6.3318000000e+03 6.9991430544e-01
6.3318250000e+03 6.9991388460e-01
6.3318500000e+03 6.9991347010e-01
6.3318750000e+03 6.9991306217e-01
6.3319000000e+03 6.9991266087e-01
6.3319250000e+03 6.9991226637e-01
6.3319500000e+03 6.9991187918e-01
6.3319750000e+03 6.9991149980e-01
6.3320000000e+03 6.9991112792e-01
6.3320250000e+03 6.9991076235e-01
6.3320500000e+03 6.9991040194e-01
6.3320750000e+03 6.9991004257e-01
6.3321000000e+03 6.9990966742e-01
6.3321250000e+03 6.9990922453e-01
6.3321500000e+03 6.9990857208e-01
6.3321750000e+03 6.9990738446e-01
6.3322000000e+03 6.9990503345e-01
6.3322250000e+03 6.9990051739e-01
6.3322500000e+03 6.9989257481e-01
6.3322750000e+03 6.9988001896e-01
6.3323000000e+03 6.9986217337e-01
6.3323250000e+03 6.9983920352e-01
6.3323500000e+03 6.9981215030e-01
6.3323750000e+03 6.9978265092e-01
6.3324000000e+03 6.9975246930e-01
6.3324250000e+03 6.9972302513e-01
6.3324500000e+03 6.9969513389e-01
6.3324750000e+03 6.9966902948e-01
6.3325000000e+03 6.9964457757e-01
6.3325250000e+03 6.9962150757e-01
6.3325500000e+03 6.9959955633e-01
6.3325750000e+03 6.9957851506e-01
6.3326000000e+03 6.9955821986e-01
6.3326250000e+03 6.9953852784e-01
6.3326500000e+03 6.9951930123e-01
6.3326750000e+03 6.9950041988e-01
6.3327000000e+03 6.9948181999e-01
6.3327250000e+03 6.9946351394e-01
6.3327500000e+03 6.9944555987e-01
6.3327750000e+03 6.9942800917e-01
6.3328000000e+03 6.9941087495e-01
6.3328250000e+03 6.9939413823e-01
6.3328500000e+03 6.9937776909e-01
6.3328750000e+03 6.9936174044e-01
6.3329000000e+03 6.9934603074e-01
6.3329250000e+03 6.9933062251e-01
6.3329500000e+03 6.9931550111e-01
6.3329750000e+03 6.9930065421e-01
6.3330000000e+03 6.9928607118e-01
6.3330250000e+03 6.9927174265e-01
6.3330500000e+03 6.9925766021e-01
6.3330750000e+03 6.9924381632e-01
6.3331000000e+03 6.9923020419e-01
6.3331250000e+03 6.9921681836e-01
6.3331500000e+03 6.9920365371e-01
6.3331750000e+03 6.9919070474e-01
6.3332000000e+03 6.9917796652e-01
6.3332250000e+03 6.9916543474e-01
6.3332500000e+03 6.9915310522e-01
6.3332750000e+03 6.9914097333e-01
6.3333000000e+03 6.9912903555e-01
6.3333250000e+03 6.9911728876e-01
6.3333500000e+03 6.9910573004e-01
6.3333750000e+03 6.9909435657e-01
6.3334000000e+03 6.9908316538e-01
6.3334250000e+03 6.9907215464e-01
6.3334500000e+03 6.9906132524e-01
6.3334750000e+03 6.9905068432e-01
6.3335000000e+03 6.9904024886e-01
6.3335250000e+03 6.9903004584e-01
6.3335500000e+03 6.9902010609e-01
6.3335750000e+03 6.9901044924e-01
6.3336000000e+03 6.9900107025e-01
6.3336250000e+03 6.9899193718e-01
6.3336500000e+03 6.9898300208e-01
6.3336750000e+03 6.9897422168e-01
6.3337000000e+03 6.9896556833e-01
6.3337250000e+03 6.9895703275e-01
6.3337500000e+03 6.9894861836e-01
6.3337750000e+03 6.9894033160e-01
6.3338000000e+03 6.9893217940e-01
6.3338250000e+03 6.9892416616e-01
6.3338500000e+03 6.9891629455e-01
6.3338750000e+03 6.9890856521e-01
6.3339000000e+03 6.9890097841e-01
6.3339250000e+03 6.9889353448e-01
6.3339500000e+03 6.9888623352e-01
6.3339750000e+03 6.9887907571e-01
6.3340000000e+03 6.9887206029e-01
6.3340250000e+03 6.9886518664e-01
6.3340500000e+03 6.9885845419e-01
6.3340750000e+03 6.9885186196e-01
6.3341000000e+03 6.9884540822e-01
6.3341250000e+03 6.9883908900e-01
6.3341500000e+03 6.9883289866e-01
6.3341750000e+03 6.9882683041e-01
6.3342000000e+03 6.9882087536e-01
6.3342250000e+03 6.9881502585e-01
6.3342500000e+03 6.9880926329e-01
6.3342750000e+03 6.9880357858e-01
6.3343000000e+03 6.9879797310e-01
6.3343250000e+03 6.9879245335e-01
6.3343500000e+03 6.9878702980e-01
6.3343750000e+03 6.9878171668e-01
6.3344000000e+03 6.9877652869e-01
6.3344250000e+03 6.9877147824e-01
6.3344500000e+03 6.9876657417e-01
6.3344750000e+03 6.9876182097e-01
6.3345000000e+03 6.9875722016e-01
6.3345250000e+03 6.9875277117e-01
6.3345500000e+03 6.9874847318e-01
6.3345750000e+03 6.9874432496e-01
6.3346000000e+03 6.9874032454e-01
6.3346250000e+03 6.9873647080e-01
6.3346500000e+03 6.9873276253e-01
6.3346750000e+03 6.9872919847e-01
6.3347000000e+03 6.9872577821e-01
6.3347250000e+03 6.9872250280e-01
6.3347500000e+03 6.9871937289e-01
6.3347750000e+03 6.9871638909e-01
6.3348000000e+03 6.9871355237e-01
6.3348250000e+03 6.9871086360e-01
6.3348500000e+03 6.9870832451e-01
6.3348750000e+03 6.9870593686e-01
6.3349000000e+03 6.9870370068e-01
6.3349250000e+03 6.9870160865e-01
6.3349500000e+03 6.9869964347e-01
6.3349750000e+03 6.9869778099e-01
6.3350000000e+03 6.9869600416e-01
6.3350250000e+03 6.9869431075e-01
6.3350500000e+03 6.9869270532e-01
6.3350750000e+03 6.9869118050e-01
6.3351000000e+03 6.9868971580e-01
6.3351250000e+03 6.9868828768e-01
6.3351500000e+03 6.9868688009e-01
6.3351750000e+03 6.9868549254e-01
6.3352000000e+03 6.9868413906e-01
6.3352250000e+03 6.9868284241e-01
6.3352500000e+03 6.9868162900e-01
6.3352750000e+03 6.9868051940e-01
6.3353000000e+03 6.9867952699e-01
6.3353250000e+03 6.9867865975e-01
6.3353500000e+03 6.9867792100e-01
6.3353750000e+03 6.9867731213e-01
6.3354000000e+03 6.9867683349e-01
6.3354250000e+03 6.9867648491e-01
6.3354500000e+03 6.9867626618e-01
6.3354750000e+03 6.9867617692e-01
6.3355000000e+03 6.9867621707e-01
6.3355250000e+03 6.9867638660e-01
6.3355500000e+03 6.9867668559e-01
6.3355750000e+03 6.9867711390e-01
6.3356000000e+03 6.9867767151e-01
6.3356250000e+03 6.9867835856e-01
6.3356500000e+03 6.9867917515e-01
6.3356750000e+03 6.9868012147e-01
6.3357000000e+03 6.9868119778e-01
6.3357250000e+03 6.9868240429e-01
6.3357500000e+03 6.9868374134e-01
6.3357750000e+03 6.9868520928e-01
6.3358000000e+03 6.9868680852e-01
6.3358250000e+03 6.9868853929e-01
6.3358500000e+03 6.9869040229e-01
6.3358750000e+03 6.9869239797e-01
6.3359000000e+03 6.9869452527e-01
6.3359250000e+03 6.9869678242e-01
6.3359500000e+03 6.9869916610e-01
6.3359750000e+03 6.9870167267e-01
6.3360000000e+03 6.9870430273e-01
6.3360250000e+03 6.9870706437e-01
6.3360500000e+03 6.9870997164e-01
6.3360750000e+03 6.9871303924e-01
6.3361000000e+03 6.9871627831e-01
6.3361250000e+03 6.9871969018e-01
6.3361500000e+03 6.9872325199e-01
6.3361750000e+03 6.9872691034e-01
6.3362000000e+03 6.9873060706e-01
6.3362250000e+03 6.9873431568e-01
6.3362500000e+03 6.9873805335e-01
6.3362750000e+03 6.9874186166e-01
6.3363000000e+03 6.9874577995e-01
6.3363250000e+03 6.9874983043e-01
6.3363500000e+03 6.9875402174e-01
6.3363750000e+03 6.9875835222e-01
6.3364000000e+03 6.9876280830e-01
6.3364250000e+03 6.9876736645e-01
6.3364500000e+03 6.9877200733e-01
6.3364750000e+03 6.9877672924e-01
6.3365000000e+03 6.9878154521e-01
6.3365250000e+03 6.9878647159e-01
6.3365500000e+03 6.9879152120e-01
6.3365750000e+03 6.9879669990e-01
6.3366000000e+03 6.9880200883e-01
6.3366250000e+03 6.9880744799e-01
6.3366500000e+03 6.9881301746e-01
6.3366750000e+03 6.9881871814e-01
6.3367000000e+03 6.9882455059e-01
6.3367250000e+03 6.9883051617e-01
6.3367500000e+03 6.9883661604e-01
6.3367750000e+03 6.9884285060e-01
6.3368000000e+03 6.9884922071e-01
6.3368250000e+03 6.9885572739e-01
6.3368500000e+03 6.9886237011e-01
6.3368750000e+03 6.9886914792e-01
6.3369000000e+03 6.9887606077e-01
6.3369250000e+03 6.9888310931e-01
6.3369500000e+03 6.9889029566e-01
6.3369750000e+03 6.9889762129e-01
6.3370000000e+03 6.9890508672e-01
6.3370250000e+03 6.9891269371e-01
6.3370500000e+03 6.9892044374e-01
6.3370750000e+03 6.9892833776e-01
6.3371000000e+03 6.9893637742e-01
6.3371250000e+03 6.9894456360e-01
6.3371500000e+03 6.9895289618e-01
6.3371750000e+03 6.9896137709e-01
6.3372000000e+03 6.9897000805e-01
6.3372250000e+03 6.9897879071e-01
6.3372500000e+03 6.9898772800e-01
6.3372750000e+03 6.9899682362e-01
6.3373000000e+03 6.9900607962e-01
6.3373250000e+03 6.9901549339e-01
6.3373500000e+03 6.9902505630e-01
6.3373750000e+03 6.9903475535e-01
6.3374000000e+03 6.9904457991e-01
6.3374250000e+03 6.9905452781e-01
6.3374500000e+03 6.9906460529e-01
6.3374750000e+03 6.9907482332e-01
6.3375000000e+03 6.9908519248e-01
6.3375250000e+03 6.9909572044e-01
6.3375500000e+03 6.9910641135e-01
6.3375750000e+03 6.9911726812e-01
6.3376000000e+03 6.9912829423e-01
6.3376250000e+03 6.9913949270e-01
6.3376500000e+03 6.9915086495e-01
6.3376750000e+03 6.9916241130e-01
6.3377000000e+03 6.9917413264e-01
6.3377250000e+03 6.9918602936e-01
6.3377500000e+03 6.9919810274e-01
6.3377750000e+03 6.9921035689e-01
6.3378000000e+03 6.9922279796e-01
6.3378250000e+03 6.9923543368e-01
6.3378500000e+03 6.9924826992e-01
6.3378750000e+03 6.9926130987e-01
6.3379000000e+03 6.9927455631e-01
6.3379250000e+03 6.9928801155e-01
6.3379500000e+03 6.9930167778e-01
6.3379750000e+03 6.9931556021e-01
6.3380000000e+03 6.9932966579e-01
6.3380250000e+03 6.9934400367e-01
6.3380500000e+03 6.9935858562e-01
6.3380750000e+03 6.9937342459e-01
6.3381000000e+03 6.9938853314e-01
6.3381250000e+03 6.9940392417e-01
6.3381500000e+03 6.9941960872e-01
6.3381750000e+03 6.9943559576e-01
6.3382000000e+03 6.9945189194e-01
6.3382250000e+03 6.9946849549e-01
6.3382500000e+03 6.9948538516e-01
6.3382750000e+03 6.9950250296e-01
6.3383000000e+03 6.9951973099e-01
6.3383250000e+03 6.9953686816e-01
6.3383500000e+03 6.9955362281e-01
6.3383750000e+03 6.9956964117e-01
6.3384000000e+03 6.9958458169e-01
6.3384250000e+03 6.9959823122e-01
6.3384500000e+03 6.9961061724e-01
6.3384750000e+03 6.9962207416e-01
6.3385000000e+03 6.9963323243e-01
6.3385250000e+03 6.9964489319e-01
6.3385500000e+03 6.9965777300e-01
6.3385750000e+03 6.9967215265e-01
6.3386000000e+03 6.9968757490e-01
6.3386250000e+03 6.9970280962e-01
6.3386500000e+03 6.9971614186e-01
6.3386750000e+03 6.9972589212e-01
6.3387000000e+03 6.9973095022e-01
6.3387250000e+03 6.9973109617e-01
6.3387500000e+03 6.9972699721e-01
6.3387750000e+03 6.9971987083e-01
6.3388000000e+03 6.9971099642e-01
6.3388250000e+03 6.9970135402e-01
6.3388500000e+03 6.9969152169e-01
6.3388750000e+03 6.9968177073e-01
6.3389000000e+03 6.9967221240e-01
6.3389250000e+03 6.9966289834e-01
6.3389500000e+03 6.9965385531e-01
6.3389750000e+03 6.9964508221e-01
